John,Smith,jsmith2@gmail.com,1
Jane,Doe,jdoe@gmail.com,0
Mary,Jane,mjane@gmail.com,0
Bob,Jones,bjones@gmail.com,0
John,Smith,jsmith23@gmail.com,1
Mary,Jane,mjane63@gmail.com,0
Bobby,Polowski,bpolowski@gmail.com,0
Brandon,Laskowski,blaskowski@yahoo.com,0
Mike,Wazowski,mikeywazowski123456789@examplesite.com,0
John,Jacobs,jjacobs@hotmail.com,0
Matthew,Nessel,mdnessel@bsu.edu,0
Ian,Shepard,ishepard@gmail.com,1
Bob,Saget,bobSag@rocketmail.com,1
Susan,Jones,susan123@gmail.com,1
😎😎😎😎😎😎😎😎😎😎,ʩĠĠĠĠπππππ,cakellum@bsu.edu,0
Matt😂,Emoji,emojiman@gmail.com,1
